STATION,NAME,YEAR,MONTH,DAY,TMAX,TMIN,TOT_DAY
USW00023062,"DENVER STAPLETON, CO US",1948,9,4,95,56,248
USW00023062,"DENVER STAPLETON, CO US",1948,9,5,83,58,249
USW00023062,"DENVER STAPLETON, CO US",1948,9,6,73,50,250
USW00023062,"DENVER STAPLETON, CO US",1948,9,7,60,47,251
USW00023062,"DENVER STAPLETON, CO US",1948,9,8,71,48,252
USW00023062,"DENVER STAPLETON, CO US",1948,9,9,75,44,253
USW00023062,"DENVER STAPLETON, CO US",1948,9,10,84,50,254
USW00023062,"DENVER STAPLETON, CO US",1948,9,11,86,52,255
USW00023062,"DENVER STAPLETON, CO US",1948,9,12,86,51,256
USW00023062,"DENVER STAPLETON, CO US",1948,9,13,87,51,257
USW00023062,"DENVER STAPLETON, CO US",1948,9,14,91,51,258
USW00023062,"DENVER STAPLETON, CO US",1948,9,15,90,56,259
USW00023062,"DENVER STAPLETON, CO US",1948,9,16,85,57,260
USW00023062,"DENVER STAPLETON, CO US",1948,9,17,85,56,261
USW00023062,"DENVER STAPLETON, CO US",1948,9,18,87,54,262
USW00023062,"DENVER STAPLETON, CO US",1948,9,19,77,58,263
USW00023062,"DENVER STAPLETON, CO US",1948,9,20,77,54,264
USW00023062,"DENVER STAPLETON, CO US",1948,9,21,81,50,265
USW00023062,"DENVER STAPLETON, CO US",1948,9,22,84,54,266
USW00023062,"DENVER STAPLETON, CO US",1948,9,23,84,45,267
USW00023062,"DENVER STAPLETON, CO US",1948,9,24,77,46,268
USW00023062,"DENVER STAPLETON, CO US",1948,9,25,84,48,269
USW00023062,"DENVER STAPLETON, CO US",1948,9,26,78,60,270
USW00023062,"DENVER STAPLETON, CO US",1948,9,27,79,52,271
USW00023062,"DENVER STAPLETON, CO US",1948,9,28,77,47,272
USW00023062,"DENVER STAPLETON, CO US",1948,9,29,74,42,273
USW00023062,"DENVER STAPLETON, CO US",1948,9,30,63,51,274
USW00023062,"DENVER STAPLETON, CO US",1948,10,1,64,48,275
USW00023062,"DENVER STAPLETON, CO US",1948,10,2,76,41,276
USW00023062,"DENVER STAPLETON, CO US",1948,10,3,81,50,277
USW00023062,"DENVER STAPLETON, CO US",1948,10,4,80,50,278
USW00023062,"DENVER STAPLETON, CO US",1948,10,5,69,40,279
USW00023062,"DENVER STAPLETON, CO US",1948,10,6,48,30,280
USW00023062,"DENVER STAPLETON, CO US",1948,10,7,65,25,281
USW00023062,"DENVER STAPLETON, CO US",1948,10,8,78,41,282
USW00023062,"DENVER STAPLETON, CO US",1948,10,9,63,36,283
USW00023062,"DENVER STAPLETON, CO US",1948,10,10,64,38,284
USW00023062,"DENVER STAPLETON, CO US",1948,10,11,65,36,285
USW00023062,"DENVER STAPLETON, CO US",1948,10,12,71,36,286
USW00023062,"DENVER STAPLETON, CO US",1948,10,13,76,41,287
USW00023062,"DENVER STAPLETON, CO US",1948,10,14,79,41,288
USW00023062,"DENVER STAPLETON, CO US",1948,10,15,72,43,289
USW00023062,"DENVER STAPLETON, CO US",1948,10,16,45,26,290
USW00023062,"DENVER STAPLETON, CO US",1948,10,17,54,19,291
USW00023062,"DENVER STAPLETON, CO US",1948,10,18,68,30,292
USW00023062,"DENVER STAPLETON, CO US",1948,10,19,64,33,293
USW00023062,"DENVER STAPLETON, CO US",1948,10,20,64,35,294
USW00023062,"DENVER STAPLETON, CO US",1948,10,21,72,30,295
USW00023062,"DENVER STAPLETON, CO US",1948,10,22,66,35,296
USW00023062,"DENVER STAPLETON, CO US",1948,10,23,77,32,297
USW00023062,"DENVER STAPLETON, CO US",1948,10,24,78,41,298
USW00023062,"DENVER STAPLETON, CO US",1948,10,25,71,40,299
USW00023062,"DENVER STAPLETON, CO US",1948,10,26,61,33,300
USW00023062,"DENVER STAPLETON, CO US",1948,10,27,59,33,301
USW00023062,"DENVER STAPLETON, CO US",1948,10,28,52,32,302
USW00023062,"DENVER STAPLETON, CO US",1948,10,29,60,36,303
USW00023062,"DENVER STAPLETON, CO US",1948,10,30,62,32,304
USW00023062,"DENVER STAPLETON, CO US",1948,10,31,63,31,305
USW00023062,"DENVER STAPLETON, CO US",1948,11,1,65,31,306
USW00023062,"DENVER STAPLETON, CO US",1948,11,2,69,36,307
USW00023062,"DENVER STAPLETON, CO US",1948,11,3,64,35,308
USW00023062,"DENVER STAPLETON, CO US",1948,11,4,45,31,309
USW00023062,"DENVER STAPLETON, CO US",1948,11,5,50,29,310
USW00023062,"DENVER STAPLETON, CO US",1948,11,6,57,30,311
USW00023062,"DENVER STAPLETON, CO US",1948,11,7,42,22,312
USW00023062,"DENVER STAPLETON, CO US",1948,11,8,29,13,313
USW00023062,"DENVER STAPLETON, CO US",1948,11,9,37,15,314
USW00023062,"DENVER STAPLETON, CO US",1948,11,10,44,28,315
USW00023062,"DENVER STAPLETON, CO US",1948,11,11,31,21,316
USW00023062,"DENVER STAPLETON, CO US",1948,11,12,52,23,317
USW00023062,"DENVER STAPLETON, CO US",1948,11,13,59,30,318
USW00023062,"DENVER STAPLETON, CO US",1948,11,14,71,37,319
USW00023062,"DENVER STAPLETON, CO US",1948,11,15,68,38,320
USW00023062,"DENVER STAPLETON, CO US",1948,11,16,58,30,321
USW00023062,"DENVER STAPLETON, CO US",1948,11,17,59,29,322
USW00023062,"DENVER STAPLETON, CO US",1948,11,18,35,16,323
USW00023062,"DENVER STAPLETON, CO US",1948,11,19,41,12,324
USW00023062,"DENVER STAPLETON, CO US",1948,11,20,30,22,325
USW00023062,"DENVER STAPLETON, CO US",1948,11,21,39,18,326
USW00023062,"DENVER STAPLETON, CO US",1948,11,22,44,14,327
USW00023062,"DENVER STAPLETON, CO US",1948,11,23,44,27,328
USW00023062,"DENVER STAPLETON, CO US",1948,11,24,57,28,329
USW00023062,"DENVER STAPLETON, CO US",1948,11,25,41,21,330
USW00023062,"DENVER STAPLETON, CO US",1948,11,26,40,20,331
USW00023062,"DENVER STAPLETON, CO US",1948,11,27,32,11,332
USW00023062,"DENVER STAPLETON, CO US",1948,11,28,55,11,333
USW00023062,"DENVER STAPLETON, CO US",1948,11,29,54,22,334
USW00023062,"DENVER STAPLETON, CO US",1948,11,30,57,13,335
USW00023062,"DENVER STAPLETON, CO US",1948,12,1,39,16,336
USW00023062,"DENVER STAPLETON, CO US",1948,12,2,63,20,337
USW00023062,"DENVER STAPLETON, CO US",1948,12,3,66,34,338
USW00023062,"DENVER STAPLETON, CO US",1948,12,4,56,29,339
USW00023062,"DENVER STAPLETON, CO US",1948,12,5,45,18,340
USW00023062,"DENVER STAPLETON, CO US",1948,12,6,38,18,341
USW00023062,"DENVER STAPLETON, CO US",1948,12,7,34,13,342
USW00023062,"DENVER STAPLETON, CO US",1948,12,8,39,16,343
USW00023062,"DENVER STAPLETON, CO US",1948,12,9,38,10,344
USW00023062,"DENVER STAPLETON, CO US",1948,12,10,55,19,345
USW00023062,"DENVER STAPLETON, CO US",1948,12,11,53,29,346
USW00023062,"DENVER STAPLETON, CO US",1948,12,12,64,29,347
USW00023062,"DENVER STAPLETON, CO US",1948,12,13,59,26,348
USW00023062,"DENVER STAPLETON, CO US",1948,12,14,47,16,349
USW00023062,"DENVER STAPLETON, CO US",1948,12,15,40,17,350
USW00023062,"DENVER STAPLETON, CO US",1948,12,16,32,10,351
USW00023062,"DENVER STAPLETON, CO US",1948,12,17,38,10,352
USW00023062,"DENVER STAPLETON, CO US",1948,12,18,42,17,353
USW00023062,"DENVER STAPLETON, CO US",1948,12,19,47,19,354
USW00023062,"DENVER STAPLETON, CO US",1948,12,20,59,28,355
USW00023062,"DENVER STAPLETON, CO US",1948,12,21,35,21,356
USW00023062,"DENVER STAPLETON, CO US",1948,12,22,29,16,357
USW00023062,"DENVER STAPLETON, CO US",1948,12,23,26,17,358
USW00023062,"DENVER STAPLETON, CO US",1948,12,24,28,3,359
USW00023062,"DENVER STAPLETON, CO US",1948,12,25,20,-1,360
USW00023062,"DENVER STAPLETON, CO US",1948,12,26,44,2,361
USW00023062,"DENVER STAPLETON, CO US",1948,12,27,47,12,362
USW00023062,"DENVER STAPLETON, CO US",1948,12,28,34,12,363
USW00023062,"DENVER STAPLETON, CO US",1948,12,29,35,5,364
USW00023062,"DENVER STAPLETON, CO US",1948,12,30,45,17,365
USW00023062,"DENVER STAPLETON, CO US",1948,12,31,33,10,366
USW00023062,"DENVER STAPLETON, CO US",1949,1,1,51,26,367
USW00023062,"DENVER STAPLETON, CO US",1949,1,2,29,7,368
USW00023062,"DENVER STAPLETON, CO US",1949,1,3,8,1,369
USW00023062,"DENVER STAPLETON, CO US",1949,1,4,24,4,370
USW00023062,"DENVER STAPLETON, CO US",1949,1,5,38,14,371
USW00023062,"DENVER STAPLETON, CO US",1949,1,6,46,18,372
USW00023062,"DENVER STAPLETON, CO US",1949,1,7,51,18,373
USW00023062,"DENVER STAPLETON, CO US",1949,1,8,51,19,374
USW00023062,"DENVER STAPLETON, CO US",1949,1,9,20,1,375
USW00023062,"DENVER STAPLETON, CO US",1949,1,10,6,-8,376
USW00023062,"DENVER STAPLETON, CO US",1949,1,11,20,-10,377
USW00023062,"DENVER STAPLETON, CO US",1949,1,12,40,9,378
USW00023062,"DENVER STAPLETON, CO US",1949,1,13,46,14,379
USW00023062,"DENVER STAPLETON, CO US",1949,1,14,50,18,380
USW00023062,"DENVER STAPLETON, CO US",1949,1,15,35,14,381
USW00023062,"DENVER STAPLETON, CO US",1949,1,16,20,4,382
USW00023062,"DENVER STAPLETON, CO US",1949,1,17,32,0,383
USW00023062,"DENVER STAPLETON, CO US",1949,1,18,24,7,384
USW00023062,"DENVER STAPLETON, CO US",1949,1,19,37,4,385
USW00023062,"DENVER STAPLETON, CO US",1949,1,20,21,-3,386
USW00023062,"DENVER STAPLETON, CO US",1949,1,21,27,-4,387
USW00023062,"DENVER STAPLETON, CO US",1949,1,22,36,8,388
USW00023062,"DENVER STAPLETON, CO US",1949,1,23,17,-5,389
USW00023062,"DENVER STAPLETON, CO US",1949,1,24,4,-9,390
USW00023062,"DENVER STAPLETON, CO US",1949,1,25,12,-9,391
USW00023062,"DENVER STAPLETON, CO US",1949,1,26,27,2,392
USW00023062,"DENVER STAPLETON, CO US",1949,1,27,31,16,393
